DEPTH_ft,GR,RT,RHOB,NPHI,Hydrocarbon,Zone
1000,109.88,0.2,2.657,0.3,0,shale
1002,110.64,0.2,2.574,0.28,0,shale
1004,92.71,4.54,2.446,0.324,0,shale
1006,123.09,4.08,2.64,0.307,0,shale
1008,124.24,2.02,2.587,0.366,0,shale
1010,104.18,5.59,2.636,0.303,0,shale
1012,123.99,7.36,2.544,0.32,0,shale
1014,93.66,7.26,2.62,0.419,0,shale
1016,97.1,3.59,2.51,0.411,0,shale
1018,128.15,9.97,2.616,0.442,0,shale
1020,116.05,6.53,2.513,0.406,0,shale
1022,111.12,1.49,2.507,0.352,0,shale
1024,112.66,2.22,2.475,0.3,0,shale
1026,106.48,3.43,2.607,0.365,0,shale
1028,132.18,4.83,2.55,0.424,0,shale
1030,115.79,4.06,2.566,0.321,0,shale
1032,95.57,4.22,2.588,0.451,0,shale
1034,129.8,9.99,2.618,0.359,0,shale
1036,105.67,2.63,2.627,0.405,0,shale
1038,147.21,1.01,2.618,0.432,0,shale
1040,141.15,8.32,2.656,0.34,0,shale
1042,126.93,9.55,2.643,0.307,0,shale
1044,118.27,6.46,2.687,0.409,0,shale
1046,139.33,6.74,2.524,0.447,0,shale
1048,120.5,6.41,2.585,0.265,0,shale
1050,98.83,1.66,2.624,0.311,0,shale
1052,147.78,6.95,2.569,0.406,0,shale
1054,123.58,2.33,2.622,0.382,0,shale
1056,125.55,4.15,2.678,0.426,0,shale
1058,98.29,7.08,2.448,0.327,0,shale
1060,138.13,0.2,2.607,0.431,0,shale
1062,145.1,0.2,2.468,0.356,0,shale
1064,101.79,3.71,2.588,0.298,0,shale
1066,137.46,7.54,2.461,0.313,0,shale
1068,142.59,0.21,2.528,0.457,0,shale
1070,141.7,0.2,2.54,0.359,0,shale
1072,100.95,8.23,2.545,0.35,0,shale
1074,106.98,0.2,2.644,0.445,0,shale
1076,119.61,10.03,2.477,0.446,0,shale
1078,55.71,24.68,2.225,0.197,0,transition
1080,64.04,25.09,2.39,0.136,0,transition
1082,70.2,26.54,2.165,0.17,1,transition
1084,56.4,25.32,2.36,0.146,0,transition
1086,64.94,26.01,2.227,0.131,0,transition
1088,49.43,35.33,2.229,0.127,0,transition
1090,63.37,22.68,2.261,0.202,1,transition
1092,73.56,37.72,2.181,0.182,1,transition
1094,72.13,33.49,2.271,0.189,0,transition
1096,56.26,22.78,2.159,0.137,0,transition
1098,68.07,27.48,2.281,0.244,0,transition
1100,45.31,35.53,2.227,0.247,1,transition
1102,45.08,33.55,2.292,0.19,0,transition
1104,54.37,39.36,2.254,0.151,0,transition
1106,78.14,46.33,2.296,0.209,1,transition
1108,77.06,43.53,2.282,0.2,0,transition
1110,46.07,39.47,2.325,0.186,0,transition
1112,58.02,30.81,2.17,0.106,0,transition
1114,62.59,34.91,2.312,0.144,1,transition
1116,56.08,43.95,2.393,0.182,1,transition
1118,66.37,20.83,2.283,0.161,1,transition
1120,76.85,19.22,2.228,0.193,1,transition
1122,54.08,50.88,2.432,0.121,1,transition
1124,60.07,49.92,2.39,0.127,0,transition
1126,69.62,32.89,2.365,0.208,0,transition
1128,77.28,41.03,2.252,0.207,1,transition
1130,72.62,42.93,2.17,0.238,0,transition
1132,80.95,33.69,2.261,0.176,1,transition
1134,67.94,22.91,2.423,0.167,1,transition
1136,73.3,36.14,2.377,0.222,0,transition
1138,72.33,40.29,2.219,0.133,0,transition
1140,68.98,36.79,2.256,0.154,1,transition
1142,54.46,46.64,2.281,0.151,1,transition
1144,48.66,25.09,2.203,0.151,1,transition
1146,55.79,41.15,2.188,0.164,0,transition
1148,61.37,45.53,2.35,0.135,0,transition
1150,75.78,48.19,2.213,0.181,1,transition
